epoch,cagr,volatility
0.0,0.558715695733571,0.11721691851279605
0.0,0.0,0.0
0.0,-0.047924999247923816,0.17226089017833682
0.0,-0.307540189181129,0.3678232876846356
0.0,0.0,0.0
0.0,-0.0571941335166084,0.32341643225149885
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,1.3272049416804679,0.3150620914505552
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.38152866249105855,0.24912031760831677
0.0,0.10683011006876919,0.0823316092892395
0.0,-0.13978249687666455,0.1668740637691875
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.5357631420042006,0.9930571410029335
0.0,0.0,0.0
0.0,0.15458986505878913,0.11849315455591213
0.0,0.0,0.0
0.0,0.0,0.0
0.0,3.6666483142591133,1.8963301085538662
0.0,0.0,0.0
0.0,0.03102966029209564,0.45964387636158544
0.0,0.25523122052148817,0.14553385404313676
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
